Review,Rank,Year
"Being John Malkovich (1999), the Spike Jonze's directorial debut, is an amazing film - hip, inventive, delightfully weird, incredibly funny and disturbingly serious with the gleefully absurd plot twists. Let's face it, that was a stroke of genius - to throw together the tragic medieval lovers, Abelard and Heloise in the street show created by a talented puppeteer Craig Scwartzh (John Cusack) with the nimble fingers but out of work in ""today's wintry economic climate"", Elijah the Chimp with the mental problems that go back to his childhood, the surreal office that is located on the 7 1/2 store of a New York City office building and a floor is four feet high. Add Cameron Diaz (Craig's animals loving wife Lotte), completely unrecognizable, aging and balding Charlie Sheen, cynical and practical Maxine (Catherine Keener), who had an unique experience of having two people looked at her ""with complete lust and devotion, through the same pair of eyes"", and send them all to the wild ride inside the famous and respectable actor John Malkovich's brain to see what he sees and to feel what he feels, to the trip that would last 15 minutes and end up in a ditch on the side of New Jersey Turnpike. This is just the beginning...Oh, and what John Horatio Malkovich feels with all the travelers in his head and what he sees when he enters the portal to his own brain, you have to find out for yourself! What drug were Charlie Kaufman and Spike Jonze on?! Not even two hours long, the movie never ceases to surprise and entertain. ""Being John Malkovich"" is a fascinating and truly original film which I love and always enjoy watching even if there were never a connection with any of its characters (with the exception of Abelard and Heloise and Elijah the Chimp).",10,2007
BEING JOHN MALKOVICH (1999) ****,9,1999
"What does it feel like to be inside someone else's skin?  Some people find out in the highly imaginative `Being John Malkovich,' directed with style by Spike Jonze, and starring John Cusack, Cameron Diaz, Catherine Keener and John Malkovich.  When out of work puppeteer Craig Schwartz (Cusack) gets a job as a file clerk on the `7 1/2' floor of an office building, it's the beginning of a bizarre interlude that will ultimately take him, and a few others as well, into a realm beyond the known.  One day he discovers a small doorway hidden behind a filing cabinet; curious, he ventures into the dark beyond and is suddenly sucked into the mind of actor John Malkovich.  After fifteen minutes of seeing through Malkovich's eyes, and experiencing what the actor is experiencing, Craig is just as suddenly and inexplicably dropped into a ditch beside the New Jersey Turnpike.  Unable to contain himself, he confides what has happened to him to Maxine (Catherine Keener), a woman who also works on 7 1/2.  Immediately, she sees money in the prospect of having a portal into the mind of John Malkovich, and she convinces Craig that they should start a business:  `J.M. Inc.'  For two hundred dollars a pop, people can have the experience of a lifetime.",10,2000
"All hail Spike Jonze for he is a genius. Not content with being the undisputed king of music videos, he's set his sights on full-length-feature-films. One might imagine that the often surreal, always innovative humour of his short music promos might not transfer across to a much longer production  like hell. Being John Malkovich' is a fresh exciting stroke of genius.",10,2001
"Originality is one thing that I very much admire in cinema, and it's also the reason I rate Being John Malkovich so highly. Charlie Kaufman has taken an amazingly weird premise and twisted round a suitably offbeat story to create a movie that is as bizarre as it is as it is compelling, and it's definitely a major highlight of American cinema in the 1990's. Charlie Kaufman may have scripted his most acclaimed film in 2004 with Eternal Sunshine of the Spotless Mind, but if you want to see his best work - you need look no further than his first feature. Quite how anyone could have thought of this premise remains a mystery, but I'm certainly glad that Kaufman did. The story revolves around a portal that leads directly into the head of the actor, John Malkovich. After discovering this portal, puppeteer Craig Schwartz shares it with his colleague and crush, the beautiful Maxine Lund. Things start to get complicated when Craig's wife, Lottie, becomes involved and it turns out that Craig's not the only one with a crush on Maxine.",8,2005
"Though I had liked the few Spike Jonze music videos I've seen(Weezer's ""Buddy Holly"" and the Beastie Boys one), I was hesitant about whether he could make the jump to movies, for, as we know, for every good MTV raised director(David Fincher), there are several bad ones(Michael Bay).  And this is truly a concept which could have gone either way.  But this is one of the most original, funny, and enjoyable movie experiences I've had this year. Every idea pays off in ways you don't expect, all four main actors do well cast against type, and it's awfully hard to pick who's the best(though I suspect John Malkovich will be remembered at Oscar time), the dialogue is great(""Don't stand in the way of my actualization as a man!"" may be the best line of the year), and I can't think of another way to describe this except go see it now.",10,1999
"This is one film that has me completely torn.  On the one hand there is so much to admire about Being John Malkovich.  The film is rich with great performances, it is directed very well by a new comer, it is a wonderfully original idea and seeing John Malcovich have the guts to portray himself, or to parody himself is quite amazing.  But on the other hand there is much to critisize about this movie.  It is slow, it doesn't really have a point and the only metaphors that I can get from the film are not clear or really that mind blowing, and the last half an hour of the film is plain and simply-----bad.  I really think that this is the type of film that cannot fail critically, critics are too afraid to tell it like it is when it comes to an ""arty"" film like this one.  It is safe and obvious to critisize a film like Armageddon or Bone Collector but admitting that you didn't really enjoy a film such as this is tricky as a critic because you may look foolish to your cronies so naturally all of them come out and tell you how wonderful and amazing and great and ya da ya da ya da this film is.  But the one thing that I noticed when I read all of the reviews before I saw the film is that not one review really told me why this film is all that they say it is, and that is because it isn't.  As I said, there is much to ""admire"" about Being John Malkovich, just not a lot to like.  But I will tell you what is good before I tell you what isn't.",6,1999
"The most original film to come out in ages! A film that has ""one-joke premise"" written all over it, but this film has about four dozen good jokes, each one brilliantly conceived and executed. Acted to perfection, beautifully written, directed by the insanely original and wild Spike Jonze, this is a great great film.",10,2000
"A prime example of just because you have not seen anything like it before, does not make it a cinematic masterpiece.  Scuzzy puppeteer John Cusack and snide co-worker Catherine Keener discover a portal into the mind of actor John Malkovich (playing himself) in their bizarre office and decide to profit from it.  Marketed as a comedy, the film is inventive, most definitely original, but the laughs virtually dry up after the first 40 minutes.  The strange plot takes one bizarre turn after another, incorporating lesbianism, spousal abuse and cults into the mix.  Events become more and more sinister, disturbing and serious during the running time.  Unfortunately, the main characters, including an unrecognizable Cameron Diaz as Cusack's frumpy wife, are so odious that it becomes impossible to identify with them, and by the climax one really does not care what is done to whom.  Keener is initially terrific as the reprehensible profiteer, but she is given limited notes to play.  Malkovich may be a good sport, but he is a pretty dull character as envisioned here.  It is hard to recall Cusack ever being this unappealing.  Director Spike Jonze has definite potential, but his ambition spins out of control far too quickly on this project.  Even the look of the film, with everything in drab blues and greys, is a downer.  For all of the hype, the film is an amazingly empty experience.",1,2002
"Strong reviews, a great cast, and an interesting premise made me rent this movie; an un-funny, demented, and just plain bad film made me wish I had never been born. How this movie can be lauded as a classic is beyond me. Quite frankly, the fact that it is such a cult classic makes me wonder if the end of western civilization is near.",1,2002
"Having read reviews and the basic idea of the movie, I really was looking forward to seeing this film. Little did I know it would be the worst movie I ever had the misfortune of paying to see. I guess what really made it awful was that it began with a great idea, but went nowhere with it. So many questions were left.",1,2001
This is the first film I've seen that's been so unbearable I've had to turn it off. ,1,2005
"I can't think of a whole lot I can say about this movie other than the fact that it is humorless, boring, and in one word, tripe. I felt after watching this movie that there were few instances that one could waste their time as much as this movie wastes time. The truly disturbing fact is that this movie was rated #50 on the top 250 of IMDB. This lessens my faith in mankind.",1,2000
"This is an insanely GREAT movie! Nothing has been attempted like this before, and it keeps coming up with surprises and ingenuity until the very end. I laughed with delight all the way through, even though the movie is intentionally, unrelentingly, disorienting and creepy.",10,1999
"Well, first of I want to make clear that I am a person who is not put off by out there concepts nor am I intellectually devoid. I only point this out as many people seem to think they could be the only reasons why a person could not enjoy this 'masterpiece'. I'm not going to say this film's awful, but I will say it's over rated. All the cast put in a good performance and I particularly enjoyed John Cusack as I usually do yet I felt cheated by this film. Firstly, the concept of delving into someone elses mind in some kind of voyeuristic power trip is nothing new, it has been explored in novels before today, and even video games i.e. Body Rides by Richard Laymon and the game Psychic Detective. I state this to show that the idea behind this film isn't so revolutionary as some may think. In Laymon's Body Rides a bracelet is used to go in the mind of others and, coincidentally, the main character in the story ultimately uses the bracelet to jump into somebody elses mind to escape death. And in Psychic Detective the main character can do the same merely by though. I'm not saying the stories are identical but they do share common ideas. Secondly, I just couldn't relate to the characters, I know they were supposed to be obnoxious but I ended up almost not giving a damn about them as a result of this. However, at this point, I must point out something that did touch me in this film, it was Cusack's character (Craig) who's fate was somewhat undeserved and I felt sympathy for him, his act showing that he did indeed love Maxine, and I also found the thought of Malkovich's daughter becoming the next vessel disturbing as, in essence, Lester/Malkovich/etc was stealing somebody's life. To sum up as a whole, the film did have points where I chuckled or felt something but I ultimately felt denied and I think people should allow other people to think that this film isn't as good as it has been made out to be. In my opinion, if a friend has it, borrow it and see for yourself but don't waste your money on a rental or a DVD, it's just not worth it. Even if you enjoy fringe cinema as I do, you will find no substance in this film to satisfy you, only a huge hollow space around which there is a thinly woven plot.",1,2000
"I think this movie is the product of being popular simply because it is odd. I read through some of the favorable reviews to see if I missed something - but apparently I didn't.  Granted, there are a few funny moments; however it quickly becomes too twisted.  The characters quickly engage in deviant behavior so far fetched, it is neither relatable nor enjoyable to watch. Rent something else.",4,2003
Rubbish...,1,2010
"I can honestly say I do not understand why anyone would like this film. It's incredibly strange and surreal, and some people like that, but even if one does, I can't imagine how one would not be bored out of one's skull by this intellect-impoverished movie.",1,2001
"What's original about it? The down-the-rabbit hole other world? Being in someone else's skin? The gender bending (and bending back again)? The movies have been doing these since the silents. This was so hyped for its originality that I was actually ticked when I saw the end-credits role. About as original as a Sears paint job, a cheeseburger, or a banana-peel gag. This movie was so mundane and so poorly done (except for Mr. Burwell's music and a few cool camera tricks at the end) that I wanted my money back. And I didn't even pay to see it! You want original? Rent Rope (the movie or just plain rope from a hardware store; either will provide far more fun).",1,2000
"Bizarre. That's the first word that came to my mind as I reflected on this film. Indeed the most common muttering that I heard among my friends with whom I was watching the film (who, I admit, had no idea what they were going to be watching and had never heard of the film) was: ""what the f**k??!!"" I kept my incredulity to myself, but I largely shared their sentiment. ",9,2006
"Being John Malkovich is an odd little dark comedy which is slightly open to interpretation, but deals with themes like identity, manipulation, sex, and neuroses. The acting is excellent - but nothing less should have been expected from this cast. The screenplay is also very good, as is the direction and editing. The film moves along at a comfortable pace, relying more on the somewhat obscure messages embedded in the intriguing plot than on characters, plot-line, action, or intellect.",8,2006
"I wanted to like this film. Aww heck, I wanted to love it. I'm a big fan of black comedies in general. I've followed Spike Jonzes career for years, John Cusack is one of my favourite actors and Cameron Diaz... Well let's just say that my feelings towards Cameron Diaz are pretty much the same as every other hetrosexual male's. So this should have been a slam dunk. I liked the concept of the film, the reviews were glowing, I was receptive, pumped and primed.",1,2001
"It may be a paradox to say that a film can sparkle slowly, yet that's the only way I can describe this charming romantic comedy. The star(dom)-crossed lovers don't know that they are Meant For Each Other ... yes, this is the standard RomCom setup. But the -way- they don't know? That is put across in a most British and deliberate pace and setting. And it makes the ending that we all know is coming gather color and charm.",10,2000
"Notting Hill is a district of west London that was built as a fashionable Victorian suburb, became very run down during the mid twentieth century and is now once again fashionable, but which retains a distinctly cosmopolitan atmosphere, with London's biggest street market and many small specialist shops. (My wife and I sometimes go there to shop for bargains). The hero of the film, William Thacker, is the owner of one of these shops, a travel bookshop. The film concerns the romance which develops between William and a young woman named Anna Scott whom he meets when she comes into his shop.",7,2004
"Notting Hill proves one thing -- jokes lie in the oddest places.  This film is an excellent vehicle for Julia Roberts to put her own life as an actress under the microscope.  While Roberts' ""Anna Scott"" character isn't an autobiographical figure, the Scott character allows for some biting satire at the life of Roberts herself.  Need I mention some excellent one liners in the film like the sister of Hugh Grant... ""I feel like we are sisters"", an excellent throw-back to ""My Best Friend's Wedding""...  or my favourite, a discussion about nude body doubles just before a nude Julia Roberts (or a Julia Roberts body double) crosses the screen.",10,1999
"Visually lovely, ""Notting Hill"" becomes an enchanting fairy tale.....a magical and endearing love story, from the opening credits to an afternoon of quiet sharing in a London park.  Being a romantic at heart, I was emotionally drawn to this well produced and entertaining motion picture, enticing me to view it a number of times more.",10,2000
"Can lightning strike twice? Well with writer Richard Curtis it has! I understand he wrote this screenplay and completed it before he realised just how similar it was to his previous hit, Four Weddings and a Funeral.",9,2007
"Not usually impressed with Romantic Comedies, i found this one strangely compelling. It really was a nice movie, littered with great characters, especially Spike played by Rhys Ifans (Hilarious).",8,2005
"This film was surprisingly good, not my favourite romantic comedy in the world, and personally I think Love Actually and Four Weddings and a Funeral are better. But it is a good film, thanks to the strong performances, fresh script and the film's look. While not laugh out loud funny, Notting Hill is nonetheless warm and charming. The script is fresh, sometimes funny, sometimes insightful. The part where Anna says ""I am just a girl, standing in front of a boy, waiting for him to love her"", may be cringe worthy to some people, but for me no matter how clichéd it is it shows a vulnerable side to Anna's character. The film is based on love revolved around unequal social standing, William being diffident and unsuccessful, Anna being the complete opposite. The photography is fabulous and the direction is excellent. Hugh Grant is charming as William and Julia Roberts is positively luminous as Anna, and the two have strong chemistry. Out of the supporting performers, Rhys Ifans stands out in a very zany turn as Spike. The music is lovely too. All in all, this is very warm, charming and pleasant, yeah the ending is predictable, but this is a well written and quite irresistible film. 8.5/10 Bethany Cox",8,2010
"Julia Roberts playing a famous American movie star wasn't quite a stretch and yet it felt unconvincing. The humor works the second you're seeing it but then it vanishes into thin air. It feels self conscious and forced. Once all that is said, ""Notting Hill"" emerges as a pleasant enough improbable romantic comedy in the ""Four Weddings And A Funeral"" mold without ever reaching the smart, disarming charm of its model. Hugh Grant is lovely in a part destined to seem Hugh Grantish with all the clipped bit of nonsense that have made Grant a household name. The quirky friends and bizarre room mates are the questionable salt and pepper of this romantic tale. I found myself smiling, getting impatient and enjoying it, all at the same time. I'm too much of a Preston Sturgess fan to be able to sit through a modern comedy in the way I did with ""The Lady Eve"" for instance. My favorite moment: The Horse and Hound sequence. Very funny. If you've never seen a Preston Sturgess, Ernst Lubitch or Billy Wilder comedy, you may like ""Notting Hill"" much more than I did.",6,2008
"Whether or not realistic, this is a wonderfully touching fairy tale like story of the romance between two people of unequal social and financial standing. The beautiful, rich, and famous American movie star is superbly captured by the incomparable and always endearing Julia Roberts, who brings such a wonderful vulnerability to her roles. Hugh Grant is perfect as the shy, stammering, bumbling, unassuming, obscure, and not very affluent London bookseller, who shares a flat with his zany, weird roommate, Spike.",8,2006
"When i visited the Notting Hill page i was very surprised to find a modest rating for this movie (less than 7). I was not sure and would like to meet people who gave it such a poor rating and understand and inquire what else do they consider to be a great movie. This movie has everything you can ask for. Great story (i agree its a rich girl poor guy love story plot but put up beautifully), great direction, great performance, subtle but again great humor and it makes u feel so good watching it. Entertains you all along, with a perfect touch of romance, humor, sorrow and backed up with some beautiful dialogues. ",10,2011
"Those who look for a story about bittersweet romance need look no further than 'Notting Hill', starring the ever-handsome English Hugh Grant and American star, Julia Roberts. Hugh Grant's character is an ordinary man who lives and owns a travel bookstore in Notting Hill. He falls in love with celebrity actress (played by Julia Roberts) who happens to come into his store. She then leads him on a wild chase and ultimately breaks his heart while he is trying to win her over. But, like other films in this formula, there is a happy ending.",6,2006
"I had no preconceptions before watching this-- i just wanted a bit of fun diversion for the evening. Instead, what i ended up with was a nearly-unwatchable steaming pile of scenes that failed to achieve the basic requirements of story or characterisation. ",1,2007
"This is so nice movie. I thought that it is good to fall in love with a man such as Hugh Grant. He is so cool.And it is important not to give up when I fall in love with a famous and rich people like Julia Roberts in this movie. She was so beautiful and good for this roll. And Rhys Ifans was so nice. He was so funny man in this movie,but he was also good friend of Hugh Grant. He played the important roll too. I like this type of person. It was interesting to watch his funny action. Notting Hill is so wonderful place I think, and I have visited there,so I enjoyed watching this movie with seeing the view of Notting Hill. The story of this movie is so interesting and heart warming.",9,2010
"Notting Hill (1999), directed by Roger Michell, is a showpiece for Julia Roberts and for London. (Hugh Grant is pretty good too.)",8,2008
"A wonderful movie about celebrity meeting normality. Nothing Hill stars Hugh Grant, as a book store owner, whose life is changed when an international movie star, Anna, played by Julia Roberts, walks into his book store. By fate, William collides into Anna knocking his lunch all over her. William offers Anna the opportunity to clean up in his flat across the way. Anna agrees.",10,2006
"Whoever wrote the pitching line was right to say that 'Notting Hill' is 'Four Weddings and a Pretty woman', but he or she would have been more right to say that this film is a 'wanna-be Four Weddings and a Pretty Woman'. The script I thought  was appalling. It reminds me of those teenage fantasies I used to have about being a very famous actress and being admired by the man I secretly wanted to impress in real life. There's nothing wrong with these fantasies, but there's cleverer ways of exploring them. Dialogues were dreadful, the plot absurd, the acting appalling and the directing very poor. But what most worries me is the fact that people like it and that companies invest in it.  Sad indeed!!",1,1999
"This started off promising with a very good first 40 minutes, then slid downhill fast with all the typical modern-day film clichés you hear in a romance-comedy. You get the customary excused promiscuous behavior and overdone sex jokes, excessive profanity and wrong intentions with the male always at fault. (It's never the female in the ""politically correct"" world of entertainment.)",3,2008
"Was it ploppy? or floppy. I can't remember, by that time I had ordered pizza and hookers and couldn't care less what they called him, who was the most pathetic at the party or anything else these cartoon characters spewed from their poisonous hideous ploppy floppy lips. ",1,2012
"With few exceptions that the public recall, both Julia Roberts and Hugh Grant have been singularly blessed in their film choices. My own recollection for Roberts was some unfair carping about her nice follow-up (with Richard Gere) to PRETTY WOMEN, RUNAWAY BRIDE. Basically a different storyline, the fans of the former film were confused by the nuttiness of the latter one. For Grant there has never been a negative comment about his films that I recall, but rather that embarrassing prostitute incident a few years back that really just showed that the actor was human. Both have a nice film charisma that makes their myriads of fans very happy. In NOTTING HILL the charisma of both mixed well on screen. It is a very sweet comedy.",10,2007
"I'm sorry but I absolutely hated this sickly-sweet romantic comedy from the too-prolific pen of screenwriter Richard Curtis. It boasts, if that's the right word a wholly unbelievable plot about a mega-famous Hollywood actress (Anna Scott, played by Julia Roberts) escaping the trappings of stardom to naturally stumble into a London bookshop and promptly falling in love with its down-at-heel but of course down-to-earth and available mop-haired owner (played by who-else? Hugh Grant) and the ups and downs of their subsequent affair. Along for the ride are a motley crew of Grant's supposedly ""normal"" friends including Gina McKee and Hugh Bonneville and kooky characters like Grant's fated-to-be-mated hippy-chick sister, played by Emma Chambers and his painfully unfunny gauche flatmate played by Rhys Ifans.",1,2014
"I've been an Andy Kaufman fan for quite a while now. True, I was around six when Andy died. But somehow this strange man was able to affect both my work and outlook. So needless to say I was looking forward to this film. And I was not disappointed.",8,1999
"""Man on The Moon"", indeed. I remember seeing Andy Kaufman's act on TV as a teenager, and I admit, I wrote him off as another comedian, with an incredibly expressive face and a flair for silliness. Years later, I'm watching him on ""Taxi"" reruns. I admired the easiness where he could go from loving Latka to malicious Vic with ease, and I thought, ""Wow, this guy really loves what he does"". And then I watch ""Man on The Moon"". Reality check.",8,2000
"Biographies of strange people have always fascinated me, and this is no exception. And ""strange"" doesn't really seem to adequately describe real-life comedian Andy Kauffman. He was REALLY different, many times very offensive, sometimes very unfunny....but always extremely interesting and certainly unique.",9,2006
"Jim Carrey delivers on of the greatest acting achievements of the nineties in this stunning biopic about the legendary comedian Andy Kaufman (the man on the moon, according to REM). For me as a European citizen, Andy Kaufman is a complete mystery. I've never seen any of his performances in Saturday Night Live nor have I ever seen any of his live shows. After seeing the movie five times, I as a Dutch not-knowing citizen who had never heard of Kaufman before, can make an image of the man and his brilliance. This is all thanks to Milos Forman and a stunning Jim Carrey, who really becomes Andy Kaufman. According to me, this movie is where Jim Carrey proves that he is just more than a funny guy, and after seeing him in Eternal Sunshine of the Spotless Mind (2004) Carrey has really proved that he is in fact a character actor.",10,2005
"I saw a special sneak preview of ""Man on the Moon"" last week in Boston. Quite simply, the film is magnificent, and truly provides the audience with a glimpse into the genius of Andy Kaufman.  There are moments of true hilarity, and moments that will break your heart.",10,1999
"Man on the Moon is one of the most heart-felt endeavors I've ever seen on film.  With each frame, you can feel how much the project means personally to all involved, especially to star Jim Carrey and producer Bob Zmuda. Although personal adoration for the subject of one's movie does not always translate into a film that audience members will identify with, Man on the Moon succeeds brilliantly.  Between Milos Forman's unique directing style, the actors' performances, and Scott Alexander and Larry Karaszewski's writing, the film is able to simultaneously make you a member in one of Andy Kaufman's audiences, experiencing both joy and frustration at his antics, and a close friend who sees, or thinks they see, the Andy Kaufman behind the masks. Just as Karaszewski and Alexander did with the Ed Wood or Larry Flint biopicks, they challenge our concept of what it means to be successful by giving dignity to to the seeming misfits of our society.  However, a biopick like Man on the Moon succeeds or fails mainly on the grounds of the lead performance.  Jim Carrey proved his dramatic talent last year with a performance in The Truman Show that should have translated into an Oscar, and this year he again gives what will likely be the best performance of the year.  Carrey approaches the role of Kaufman with a level of professionalism and enthusiasm far greater than that displayed by many of today's acclaimed actors.  Carrey adopts Kaufman's mannerisms flawlessly and becomes Kaufman so convincingly that you forget Carrey is acting.  The film's other stars, in particular Paul Giamatti, Courtney Love, and Danny DeVito, all turn in excellent performances as well.",10,1999
"For all the attention he got, Andy Kaufman didn't leave much of a comic legacy. Mostly just his part on Taxi, where his Latka character could be amusing in small doses. So why make a movie about a secondary sitcom actor? Unfortunately, you'll still be asking that question when the movie is over.",1,2004
"About the only positive thing I can say is that Andy Kaufman would have loved this.  Apparently he enjoyed producing a negative effect in his audience far more than he cared about entertaining them, so this certainly is the film he would have wanted to make.  Mr. Kaufman was capable of being incredibly funny and incredibly unfunny, but he was incapable of telling the difference.",1,1999
"This was basically a summary of what Kaufman was famous for.  It didn't dig that deep into Kaufman's life - and completely glossed over some points (but that's understandable).  Unfortunately, it wasn't particularly funny, nor was it particularly introspective or touching.  The cast was good - although Courtney Love's character was never developed to any degree.  Devito was impressive as usual.",6,1999
Don't expect a funny movie just because it's a Jim Carry movie. You will be very very disappointed if you do. Even the cable guy was many times funnier then this movie. Jim Carry acted very well however it's not the kind of movie you would expect from him. Man on the moon is definitely a drama and you need to search very hard to find any comedy in it.,1,2011
"I'm a big fan of Andy Kaufman and this movie disappointed me in a big way. Jim Carey was excellent as Andy, but the movie is all surface-- simple imitation without order, purpose, or impact.  This movie only raised questions like: why were Danny DeVito and Courtney Love's characters even included?  Why did the screenwriters take credit for simply copying down Andy Kaufman's routines and passing it off as an original screenplay?  What will Milos Forman's next film be (because I'm sure it will be much better than this one)?",2,2000
I am Italian and I don't speak English very well but This film is a MASTERPIECE. Why didn't anybody tell me about it? This is surely the best film ever produced. No oscars No advertising How is it possible This film is much more beautiful than more than half of the top 250 imdb. My words are usless.,10,2001
"Knew the song, knew Jim, never heard of Andy. I don't know how alike Andy's life was to this movie, and it didn't really matter. If I knew more about Andy I may have enjoyed the movie even more than what I did. The song is better than ever, Jim was brilliant, and Andy is a funny guy.",8,2001
